bird_name,bird_name_raw,dataset_part,folder,nb_images
greater_swamp_warbler,Greater Swamp Warbler,part_8,0. Greater Swamp Warbler,64
greater_thornbird,Greater Thornbird,part_8,0. Greater Thornbird,385
greater_vasa_parrot,Greater Vasa Parrot,part_8,0. Greater Vasa Parrot,312
greater_wagtail_tyrant,Greater Wagtail-Tyrant,part_8,0. Greater Wagtail-Tyrant,252
greater_white_fronted_goose,Greater White-fronted Goose,part_8,0. Greater White-fronted Goose,2613
greater_yellow_finch,Greater Yellow Finch,part_8,0. Greater Yellow Finch,312
greater_yellow_headed_vulture,Greater Yellow-headed Vulture,part_8,0. Greater Yellow-headed Vulture,549
greater_yellowlegs,Greater Yellowlegs,part_8,0. Greater Yellowlegs,2700
greater_yellownape,Greater Yellownape,part_8,0. Greater Yellownape,279
great_winged_petrel,Great-winged Petrel,part_8,0. Great-winged Petrel,287
green_aracari,Green Aracari,part_8,0. Green Aracari,612
green_avadavat,Green Avadavat,part_8,0. Green Avadavat,247
green_barbet,Green Barbet,part_8,0. Green Barbet,65
green_broadbill,Green Broadbill,part_8,0. Green Broadbill,532
green_catbird,Green Catbird,part_8,0. Green Catbird,435
green_cochoa,Green Cochoa,part_8,0. Green Cochoa,130
green_crombec,Green Crombec,part_8,0. Green Crombec,50
green_figbird,Green Figbird,part_8,0. Green Figbird,433
green_hermit,Green Hermit,part_8,0. Green Hermit,915
green_heron,Green Heron,part_8,0. Green Heron,3031
green_honeycreeper,Green Honeycreeper,part_8,0. Green Honeycreeper,2648
green_ibis,Green Ibis,part_8,0. Green Ibis,1103
green_imperial_pigeon,Green Imperial Pigeon,part_8,0. Green Imperial Pigeon,1081
green_iora,Green Iora,part_8,0. Green Iora,174
green_jay,Green Jay,part_8,0. Green Jay,771
green_jery,Green Jery,part_8,0. Green Jery,34
green_junglefowl,Green Junglefowl,part_8,0. Green Junglefowl,409
green_kingfisher,Green Kingfisher,part_8,0. Green Kingfisher,2439
green_longtail,Green Longtail,part_8,0. Green Longtail,8
