bird_name,bird_name_raw,dataset_part,folder,nb_images
abbotts_babbler,Abbott's Babbler,part_1,part1/ Abbott's Babbler,422
abbotts_booby,Abbott's Booby,part_1,part1/ Abbott's Booby,78
abbotts_starling,Abbott's Starling,part_1,part1/ Abbott's Starling,19
abd_al_kuri_sparrow,Abd al-Kuri Sparrow,part_1,part1/ Abd al-Kuri Sparrow,11
abdims_stork,Abdim's Stork,part_1,part1/ Abdim's Stork,975
aberdare_cisticola,Aberdare Cisticola,part_1,part1/ Aberdare Cisticola,30
aberrant_bush_warbler,Aberrant Bush Warbler,part_1,part1/ Aberrant Bush Warbler,84
abyssinian_catbird,Abyssinian Catbird,part_1,part1/ Abyssinian Catbird,59
abyssinian_crimsonwing,Abyssinian Crimsonwing,part_1,part1/ Abyssinian Crimsonwing,42
abyssinian_ground_hornbill,Abyssinian Ground Hornbill,part_1,part1/ Abyssinian Ground Hornbill,1060
abyssinian_ground_thrush,Abyssinian Ground Thrush,part_1,part1/ Abyssinian Ground Thrush,97
abyssinian_longclaw,Abyssinian Longclaw,part_1,part1/ Abyssinian Longclaw,146
abyssinian_owl,Abyssinian Owl,part_1,part1/ Abyssinian Owl,65
abyssinian_roller,Abyssinian Roller,part_1,part1/ Abyssinian Roller,704
abyssinian_scimitarbill,Abyssinian Scimitarbill,part_1,part1/ Abyssinian Scimitarbill,99
abyssinian_slaty_flycatcher,Abyssinian Slaty Flycatcher,part_1,part1/ Abyssinian Slaty Flycatcher,174
abyssinian_thrush,Abyssinian Thrush,part_1,part1/ Abyssinian Thrush,197
abyssinian_wheatear,Abyssinian Wheatear,part_1,part1/ Abyssinian Wheatear,161
abyssinian_white_eye,Abyssinian White-eye,part_1,part1/ Abyssinian White-eye,137
abyssinian_woodpecker,Abyssinian Woodpecker,part_1,part1/ Abyssinian Woodpecker,58
acadian_flycatcher,Acadian Flycatcher,part_1,part1/ Acadian Flycatcher,1081
aceh_bulbul,Aceh Bulbul,part_1,part1/ Aceh Bulbul,13
acorn_woodpecker,Acorn Woodpecker,part_1,part1/ Acorn Woodpecker,2593
acre_antshrike,Acre Antshrike,part_1,part1/ Acre Antshrike,30
acre_tody_tyrant,Acre Tody-Tyrant,part_1,part1/ Acre Tody-Tyrant,20
adamawa_turtle_dove,Adamawa Turtle Dove,part_1,part1/ Adamawa Turtle Dove,93
adelaides_warbler,Adelaide's Warbler,part_1,part1/ Adelaide's Warbler,213
adelie_penguin,Adelie Penguin,part_1,part1/ Adelie Penguin,2057
afep_pigeon,Afep Pigeon,part_1,part1/ Afep Pigeon,32
afghan_babbler,Afghan Babbler,part_1,part1/ Afghan Babbler,42
afghan_snowfinch,Afghan Snowfinch,part_1,part1/ Afghan Snowfinch,11
african_barred_owlet,African Barred Owlet,part_1,part1/ African Barred Owlet,337
african_black_duck,African Black Duck,part_1,part1/ African Black Duck,431
african_blue_flycatcher,African Blue Flycatcher,part_1,part1/ African Blue Flycatcher,183
african_blue_tit,African Blue Tit,part_1,part1/ African Blue Tit,560
african_broadbill,African Broadbill,part_1,part1/ African Broadbill,124
african_citril,African Citril,part_1,part1/ African Citril,163
african_collared_dove,African Collared Dove,part_1,part1/ African Collared Dove,392
african_crake,African Crake,part_1,part1/ African Crake,155
african_cuckoo,African Cuckoo,part_1,part1/ African Cuckoo,172
african_cuckoo_hawk,African Cuckoo-Hawk,part_1,part1/ African Cuckoo-Hawk,201
african_darter,African Darter,part_1,part1/ African Darter,1847
african_desert_warbler,African Desert Warbler,part_1,part1/ African Desert Warbler,182
african_dusky_flycatcher,African Dusky Flycatcher,part_1,part1/ African Dusky Flycatcher,692
african_dwarf_kingfisher,African Dwarf Kingfisher,part_1,part1/ African Dwarf Kingfisher,96
african_emerald_cuckoo,African Emerald Cuckoo,part_1,part1/ African Emerald Cuckoo,158
african_finfoot,African Finfoot,part_1,part1/ African Finfoot,362
african_firefinch,African Firefinch,part_1,part1/ African Firefinch,221
african_fish_eagle,African Fish Eagle,part_1,part1/ African Fish Eagle,2955
african_golden_oriole,African Golden Oriole,part_1,part1/ African Golden Oriole,239
african_goshawk,African Goshawk,part_1,part1/ African Goshawk,329
african_grass_owl,African Grass Owl,part_1,part1/ African Grass Owl,59
african_green_pigeon,African Green Pigeon,part_1,part1/ African Green Pigeon,668
african_harrier_hawk,African Harrier-Hawk,part_1,part1/ African Harrier-Hawk,1262
african_hill_babbler,African Hill Babbler,part_1,part1/ African Hill Babbler,72
african_hobby,African Hobby,part_1,part1/ African Hobby,96
african_jacana,African Jacana,part_1,part1/ African Jacana,2110
african_marsh_harrier,African Marsh Harrier,part_1,part1/ African Marsh Harrier,268
african_openbill,African Openbill,part_1,part1/ African Openbill,1343
african_oystercatcher,African Oystercatcher,part_1,part1/ African Oystercatcher,733
african_palm_swift,African Palm Swift,part_1,part1/ African Palm Swift,233
african_paradise_flycatcher,African Paradise Flycatcher,part_1,part1/ African Paradise Flycatcher,1149
african_penguin,African Penguin,part_1,part1/ African Penguin,2387
african_piculet,African Piculet,part_1,part1/ African Piculet,51
african_pied_hornbill,African Pied Hornbill,part_1,part1/ African Pied Hornbill,129
african_pied_wagtail,African Pied Wagtail,part_1,part1/ African Pied Wagtail,1140
african_pipit,African Pipit,part_1,part1/ African Pipit,686
african_pygmy_goose,African Pygmy Goose,part_1,part1/ African Pygmy Goose,618
african_pygmy_kingfisher,African Pygmy Kingfisher,part_1,part1/ African Pygmy Kingfisher,506
african_rail,African Rail,part_1,part1/ African Rail,176
african_river_martin,African River Martin,part_1,part1/ African River Martin,25
african_sacred_ibis,African Sacred Ibis,part_1,part1/ African Sacred Ibis,2956
african_scops_owl,African Scops Owl,part_1,part1/ African Scops Owl,330
african_shrike_flycatcher,African Shrike-flycatcher,part_1,part1/ African Shrike-flycatcher,61
african_skimmer,African Skimmer,part_1,part1/ African Skimmer,646
african_spoonbill,African Spoonbill,part_1,part1/ African Spoonbill,2052
african_spotted_creeper,African Spotted Creeper,part_1,part1/ African Spotted Creeper,54
african_stonechat,African Stonechat,part_1,part1/ African Stonechat,2159
african_swamphen,African Swamphen,part_1,part1/ African Swamphen,391
african_thrush,African Thrush,part_1,part1/ African Thrush,355
african_wood_owl,African Wood Owl,part_1,part1/ African Wood Owl,439
african_yellow_warbler,African Yellow Warbler,part_1,part1/ African Yellow Warbler,89
agami_heron,Agami Heron,part_1,part1/ Agami Heron,898
agile_tit_tyrant,Agile Tit-Tyrant,part_1,part1/ Agile Tit-Tyrant,103
ainleys_storm_petrel,Ainley's Storm Petrel,part_1,part1/ Ainley's Storm Petrel,2
akiapolaau,Akiapolaau,part_1,part1/ Akiapolaau,127
akikiki,Akikiki,part_1,part1/ Akikiki,60
akohekohe,Akohekohe,part_1,part1/ Akohekohe,78
akun_eagle_owl,Akun Eagle-Owl,part_1,part1/ Akun Eagle-Owl,37
alagoas_antwren,Alagoas Antwren,part_1,part1/ Alagoas Antwren,31
alagoas_curassow,Alagoas Curassow,part_1,part1/ Alagoas Curassow,54
alagoas_foliage_gleaner,Alagoas Foliage-gleaner,part_1,part1/ Alagoas Foliage-gleaner,46
alagoas_tyrannulet,Alagoas Tyrannulet,part_1,part1/ Alagoas Tyrannulet,42
alberts_lyrebird,Albert's Lyrebird,part_1,part1/ Albert's Lyrebird,118
albertine_owlet,Albertine Owlet,part_1,part1/ Albertine Owlet,8
aldabra_brush_warbler,Aldabra Brush Warbler,part_1,part1/ Aldabra Brush Warbler,7
aldabra_drongo,Aldabra Drongo,part_1,part1/ Aldabra Drongo,23
aldabra_fody,Aldabra Fody,part_1,part1/ Aldabra Fody,30
aldabra_white_eye,Aldabra White-eye,part_1,part1/ Aldabra White-eye,2
alder_flycatcher,Alder Flycatcher,part_1,part1/ Alder Flycatcher,1072
aleutian_tern,Aleutian Tern,part_1,part1/ Aleutian Tern,496
alexandrine_parakeet,Alexandrine Parakeet,part_1,part1/ Alexandrine Parakeet,1268
allens_gallinule,Allen's Gallinule,part_1,part1/ Allen's Gallinule,198
allens_hummingbird,Allen's Hummingbird,part_1,part1/ Allen's Hummingbird,2489
allpahuayo_antbird,Allpahuayo Antbird,part_1,part1/ Allpahuayo Antbird,22
alpine_accentor,Alpine Accentor,part_1,part1/ Alpine Accentor,1632
alpine_pipit,Alpine Pipit,part_1,part1/ Alpine Pipit,22
alpine_swift,Alpine Swift,part_1,part1/ Alpine Swift,1257
alpine_thrush,Alpine Thrush,part_1,part1/ Alpine Thrush,114
alströms_warbler,Alström's Warbler,part_1,part1/ Alström's Warbler,28
alta_floresta_antpitta,Alta Floresta Antpitta,part_1,part1/ Alta Floresta Antpitta,26
altai_accentor,Altai Accentor,part_1,part1/ Altai Accentor,221
altai_snowcock,Altai Snowcock,part_1,part1/ Altai Snowcock,66
altamira_oriole,Altamira Oriole,part_1,part1/ Altamira Oriole,1337
altamira_yellowthroat,Altamira Yellowthroat,part_1,part1/ Altamira Yellowthroat,24
amami_woodcock,Amami Woodcock,part_1,part1/ Amami Woodcock,123
amani_sunbird,Amani Sunbird,part_1,part1/ Amani Sunbird,25
amazilia_hummingbird,Amazilia Hummingbird,part_1,part1/ Amazilia Hummingbird,1242
amazonian_antshrike,Amazonian Antshrike,part_1,part1/ Amazonian Antshrike,134
amazonian_barred_woodcreeper,Amazonian Barred Woodcreeper,part_1,part1/ Amazonian Barred Woodcreeper,99
amazonian_black_tyrant,Amazonian Black Tyrant,part_1,part1/ Amazonian Black Tyrant,119
amazonian_motmot,Amazonian Motmot,part_1,part1/ Amazonian Motmot,1962
amazonian_pygmy_owl,Amazonian Pygmy Owl,part_1,part1/ Amazonian Pygmy Owl,106
amazonian_scrub_flycatcher,Amazonian Scrub Flycatcher,part_1,part1/ Amazonian Scrub Flycatcher,42
amazonian_streaked_antwren,Amazonian Streaked Antwren,part_1,part1/ Amazonian Streaked Antwren,94
amazonian_trogon,Amazonian Trogon,part_1,part1/ Amazonian Trogon,125
amazonian_umbrellabird,Amazonian Umbrellabird,part_1,part1/ Amazonian Umbrellabird,261
ambon_white_eye,Ambon White-eye,part_1,part1/ Ambon White-eye,21
amboyna_cuckoo_dove,Amboyna Cuckoo-Dove,part_1,part1/ Amboyna Cuckoo-Dove,353
ameline_swiftlet,Ameline Swiftlet,part_1,part1/ Ameline Swiftlet,23
american_avocet,American Avocet,part_1,part1/ American Avocet,2800
american_bittern,American Bittern,part_1,part1/ American Bittern,2215
american_black_duck,American Black Duck,part_1,part1/ American Black Duck,2485
american_coot,American Coot,part_1,part1/ American Coot,2816
american_crow,American Crow,part_1,part1/ American Crow,2611
american_dipper,American Dipper,part_1,part1/ American Dipper,2689
american_flamingo,American Flamingo,part_1,part1/ American Flamingo,2733
american_golden_plover,American Golden Plover,part_1,part1/ American Golden Plover,2519
american_goldfinch,American Goldfinch,part_1,part1/ American Goldfinch,2638
american_oystercatcher,American Oystercatcher,part_1,part1/ American Oystercatcher,2936
american_pygmy_kingfisher,American Pygmy Kingfisher,part_1,part1/ American Pygmy Kingfisher,1216
american_redstart,American Redstart,part_1,part1/ American Redstart,2435
american_robin,American Robin,part_1,part1/ American Robin,2660
american_three_toed_woodpecker,American Three-toed Woodpecker,part_1,part1/ American Three-toed Woodpecker,877
american_tree_sparrow,American Tree Sparrow,part_1,part1/ American Tree Sparrow,1276
american_white_pelican,American White Pelican,part_1,part1/ American White Pelican,2694
american_wigeon,American Wigeon,part_1,part1/ American Wigeon,1467
american_woodcock,American Woodcock,part_1,part1/ American Woodcock,1257
amethyst_brown_dove,Amethyst Brown Dove,part_1,part1/ Amethyst Brown Dove,73
amethyst_sunbird,Amethyst Sunbird,part_1,part1/ Amethyst Sunbird,434
amethyst_woodstar,Amethyst Woodstar,part_1,part1/ Amethyst Woodstar,730
amethyst_throated_mountaingem,Amethyst-throated Mountaingem,part_1,part1/ Amethyst-throated Mountaingem,81
amethyst_throated_sunangel,Amethyst-throated Sunangel,part_1,part1/ Amethyst-throated Sunangel,423
amur_paradise_flycatcher,Amur Paradise Flycatcher,part_1,part1/ Amur Paradise Flycatcher,203
anambra_waxbill,Anambra Waxbill,part_1,part1/ Anambra Waxbill,24
ancash_tapaculo,Ancash Tapaculo,part_1,part1/ Ancash Tapaculo,24
anchietas_barbet,Anchieta's Barbet,part_1,part1/ Anchieta's Barbet,28
anchietas_sunbird,Anchieta's Sunbird,part_1,part1/ Anchieta's Sunbird,22
ancient_antwren,Ancient Antwren,part_1,part1/ Ancient Antwren,2
ancient_murrelet,Ancient Murrelet,part_1,part1/ Ancient Murrelet,554
andaman_bulbul,Andaman Bulbul,part_1,part1/ Andaman Bulbul,58
andaman_coucal,Andaman Coucal,part_1,part1/ Andaman Coucal,87
andaman_crake,Andaman Crake,part_1,part1/ Andaman Crake,43
