bird_name,bird_name_raw,dataset_part,folder,nb_images
common_ostrich,Common Ostrich,DIB-10K_1,0.Common Ostrich,2361
somali_ostrich,Somali Ostrich,DIB-10K_1,1.Somali Ostrich,395
greater_rhea,Greater Rhea,DIB-10K_1,2.Greater Rhea,2401
lesser_rhea,Lesser Rhea,DIB-10K_1,3.Lesser Rhea,962
southern_brown_kiwi,Southern Brown Kiwi,DIB-10K_1,4.Southern Brown Kiwi,75
north_island_brown_kiwi,North Island Brown Kiwi,DIB-10K_1,5.North Island Brown Kiwi,111
okarito_kiwi,Okarito Kiwi,DIB-10K_1,6.Okarito Kiwi,32
little_spotted_kiwi,Little Spotted Kiwi,DIB-10K_1,7.Little Spotted Kiwi,81
great_spotted_kiwi,Great Spotted Kiwi,DIB-10K_1,8.Great Spotted Kiwi,76
southern_cassowary,Southern Cassowary,DIB-10K_1,9.Southern Cassowary,1805
dwarf_cassowary,Dwarf Cassowary,DIB-10K_1,10.Dwarf Cassowary,93
northern_cassowary,Northern Cassowary,DIB-10K_1,11.Northern Cassowary,215
emu,Emu,DIB-10K_1,12.Emu,2282
grey_tinamou,Grey Tinamou,DIB-10K_1,13.Grey Tinamou,132
solitary_tinamou,Solitary Tinamou,DIB-10K_1,14.Solitary Tinamou,192
black_tinamou,Black Tinamou,DIB-10K_1,15.Black Tinamou,43
great_tinamou,Great Tinamou,DIB-10K_1,16.Great Tinamou,1017
white_throated_tinamou,White-throated Tinamou,DIB-10K_1,17.White-throated Tinamou,94
highland_tinamou,Highland Tinamou,DIB-10K_1,18.Highland Tinamou,52
tawny_breasted_tinamou,Tawny-breasted Tinamou,DIB-10K_1,19.Tawny-breasted Tinamou,25
hooded_tinamou,Hooded Tinamou,DIB-10K_1,20.Hooded Tinamou,37
berlepschs_tinamou,Berlepsch's Tinamou,DIB-10K_1,21.Berlepsch's Tinamou,15
cinereous_tinamou,Cinereous Tinamou,DIB-10K_1,22.Cinereous Tinamou,103
little_tinamou,Little Tinamou,DIB-10K_1,23.Little Tinamou,202
tepui_tinamou,Tepui Tinamou,DIB-10K_1,24.Tepui Tinamou,15
brown_tinamou,Brown Tinamou,DIB-10K_1,25.Brown Tinamou,189
undulated_tinamou,Undulated Tinamou,DIB-10K_1,26.Undulated Tinamou,192
pale_browed_tinamou,Pale-browed Tinamou,DIB-10K_1,27.Pale-browed Tinamou,70
brazilian_tinamou,Brazilian Tinamou,DIB-10K_1,28.Brazilian Tinamou,13
grey_legged_tinamou,Grey-legged Tinamou,DIB-10K_1,29.Grey-legged Tinamou,17
red_legged_tinamou,Red-legged Tinamou,DIB-10K_1,30.Red-legged Tinamou,25
yellow_legged_tinamou,Yellow-legged Tinamou,DIB-10K_1,31.Yellow-legged Tinamou,75
black_capped_tinamou,Black-capped Tinamou,DIB-10K_1,32.Black-capped Tinamou,35
thicket_tinamou,Thicket Tinamou,DIB-10K_1,33.Thicket Tinamou,92
slaty_breasted_tinamou,Slaty-breasted Tinamou,DIB-10K_1,34.Slaty-breasted Tinamou,48
choco_tinamou,Choco Tinamou,DIB-10K_1,35.Choco Tinamou,8
variegated_tinamou,Variegated Tinamou,DIB-10K_1,36.Variegated Tinamou,77
rusty_tinamou,Rusty Tinamou,DIB-10K_1,37.Rusty Tinamou,8
bartletts_tinamou,Bartlett's Tinamou,DIB-10K_1,38.Bartlett's Tinamou,8
small_billed_tinamou,Small-billed Tinamou,DIB-10K_1,39.Small-billed Tinamou,124
barred_tinamou,Barred Tinamou,DIB-10K_1,40.Barred Tinamou,10
tataupa_tinamou,Tataupa Tinamou,DIB-10K_1,41.Tataupa Tinamou,107
red_winged_tinamou,Red-winged Tinamou,DIB-10K_1,42.Red-winged Tinamou,258
huayco_tinamou,Huayco Tinamou,DIB-10K_1,43.Huayco Tinamou,24
taczanowskis_tinamou,Taczanowski's Tinamou,DIB-10K_1,44.Taczanowski's Tinamou,11
ornate_tinamou,Ornate Tinamou,DIB-10K_1,45.Ornate Tinamou,143
chilean_tinamou,Chilean Tinamou,DIB-10K_1,46.Chilean Tinamou,172
brushland_tinamou,Brushland Tinamou,DIB-10K_1,47.Brushland Tinamou,88
andean_tinamou,Andean Tinamou,DIB-10K_1,48.Andean Tinamou,110
curve_billed_tinamou,Curve-billed Tinamou,DIB-10K_1,49.Curve-billed Tinamou,32
white_bellied_nothura,White-bellied Nothura,DIB-10K_1,50.White-bellied Nothura,78
lesser_nothura,Lesser Nothura,DIB-10K_1,51.Lesser Nothura,23
darwins_nothura,Darwin's Nothura,DIB-10K_1,52.Darwin's Nothura,64
spotted_nothura,Spotted Nothura,DIB-10K_1,53.Spotted Nothura,390
dwarf_tinamou,Dwarf Tinamou,DIB-10K_1,55.Dwarf Tinamou,13
elegant_crested_tinamou,Elegant Crested Tinamou,DIB-10K_1,56.Elegant Crested Tinamou,488
quebracho_crested_tinamou,Quebracho Crested Tinamou,DIB-10K_1,57.Quebracho Crested Tinamou,41
puna_tinamou,Puna Tinamou,DIB-10K_1,58.Puna Tinamou,123
patagonian_tinamou,Patagonian Tinamou,DIB-10K_1,59.Patagonian Tinamou,67
horned_screamer,Horned Screamer,DIB-10K_1,60.Horned Screamer,1166
northern_screamer,Northern Screamer,DIB-10K_1,61.Northern Screamer,352
southern_screamer,Southern Screamer,DIB-10K_1,62.Southern Screamer,2578
magpie_goose,Magpie Goose,DIB-10K_1,63.Magpie Goose,2399
white_faced_whistling_duck,White-faced Whistling Duck,DIB-10K_1,64.White-faced Whistling Duck,2882
black_bellied_whistling_duck,Black-bellied Whistling Duck,DIB-10K_1,65.Black-bellied Whistling Duck,2849
spotted_whistling_duck,Spotted Whistling Duck,DIB-10K_1,66.Spotted Whistling Duck,395
west_indian_whistling_duck,West Indian Whistling Duck,DIB-10K_1,67.West Indian Whistling Duck,786
fulvous_whistling_duck,Fulvous Whistling Duck,DIB-10K_1,68.Fulvous Whistling Duck,2207
plumed_whistling_duck,Plumed Whistling Duck,DIB-10K_1,69.Plumed Whistling Duck,1263
wandering_whistling_duck,Wandering Whistling Duck,DIB-10K_1,70.Wandering Whistling Duck,1174
lesser_whistling_duck,Lesser Whistling Duck,DIB-10K_1,71.Lesser Whistling Duck,2153
white_backed_duck,White-backed Duck,DIB-10K_1,72.White-backed Duck,375
cape_barren_goose,Cape Barren Goose,DIB-10K_1,73.Cape Barren Goose,1652
brant_goose,Brant Goose,DIB-10K_1,74.Brant Goose,1883
red_breasted_goose,Red-breasted Goose,DIB-10K_1,75.Red-breasted Goose,1513
nene,Nene,DIB-10K_1,76.Nene,2598
canada_goose,Canada Goose,DIB-10K_1,77.Canada Goose,2904
barnacle_goose,Barnacle Goose,DIB-10K_1,78.Barnacle Goose,2572
cackling_goose,Cackling Goose,DIB-10K_1,79.Cackling Goose,2295
bar_headed_goose,Bar-headed Goose,DIB-10K_1,80.Bar-headed Goose,2744
emperor_goose,Emperor Goose,DIB-10K_1,81.Emperor Goose,778
rosss_goose,Ross's Goose,DIB-10K_1,82.Ross's Goose,892
snow_goose,Snow Goose,DIB-10K_1,83.Snow Goose,1908
greylag_goose,Greylag Goose,DIB-10K_1,84.Greylag Goose,2528
,,DIB-10K_1,,0
taiga_bean_goose,Taiga Bean Goose,DIB-10K_2,86.Taiga Bean Goose,1510
pink_footed_goose,Pink-footed Goose,DIB-10K_2,87.Pink-footed Goose,2283
tundra_bean_goose,Tundra Bean Goose,DIB-10K_2,88.Tundra Bean Goose,808
greater_white_fronted_goose,Greater White-fronted Goose,DIB-10K_2,89.Greater White-fronted Goose,2613
lesser_white_fronted_goose,Lesser White-fronted Goose,DIB-10K_2,90.Lesser White-fronted Goose,919
coscoroba_swan,Coscoroba Swan,DIB-10K_2,91.Coscoroba Swan,2256
black_swan,Black Swan,DIB-10K_2,92.Black Swan,2924
black_necked_swan,Black-necked Swan,DIB-10K_2,93.Black-necked Swan,2256
mute_swan,Mute Swan,DIB-10K_2,94.Mute Swan,2943
trumpeter_swan,Trumpeter Swan,DIB-10K_2,95.Trumpeter Swan,2953
tundra_swan,Tundra Swan,DIB-10K_2,96.Tundra Swan,2627
whooper_swan,Whooper Swan,DIB-10K_2,97.Whooper Swan,2636
freckled_duck,Freckled Duck,DIB-10K_2,98.Freckled Duck,1204
blue_duck,Blue Duck,DIB-10K_2,99.Blue Duck,732
flying_steamer_duck,Flying Steamer Duck,DIB-10K_2,100.Flying Steamer Duck,917
fuegian_steamer_duck,Fuegian Steamer Duck,DIB-10K_2,101.Fuegian Steamer Duck,817
falkland_steamer_duck,Falkland Steamer Duck,DIB-10K_2,102.Falkland Steamer Duck,470
chubut_steamer_duck,Chubut Steamer Duck,DIB-10K_2,103.Chubut Steamer Duck,90
torrent_duck,Torrent Duck,DIB-10K_2,104.Torrent Duck,1608
spur_winged_goose,Spur-winged Goose,DIB-10K_2,105.Spur-winged Goose,1107
comb_duck,Comb Duck,DIB-10K_2,106.Comb Duck,323
knob_billed_duck,Knob-billed Duck,DIB-10K_2,107.Knob-billed Duck,1456
blue_winged_goose,Blue-winged Goose,DIB-10K_2,108.Blue-winged Goose,473
egyptian_goose,Egyptian Goose,DIB-10K_2,109.Egyptian Goose,3467
mauritius_sheldgoose,Mauritius Sheldgoose,DIB-10K_2,110.Mauritius Sheldgoose,1
reunion_sheldgoose,Reunion Sheldgoose,DIB-10K_2,111.Reunion Sheldgoose,30
orinoco_goose,Orinoco Goose,DIB-10K_2,112.Orinoco Goose,761
andean_goose,Andean Goose,DIB-10K_2,113.Andean Goose,1379
upland_goose,Upland Goose,DIB-10K_2,114.Upland Goose,2726
kelp_goose,Kelp Goose,DIB-10K_2,115.Kelp Goose,1211
ashy_headed_goose,Ashy-headed Goose,DIB-10K_2,116.Ashy-headed Goose,857
ruddy_headed_goose,Ruddy-headed Goose,DIB-10K_2,117.Ruddy-headed Goose,695
raja_shelduck,Raja Shelduck,DIB-10K_2,118.Raja Shelduck,492
common_shelduck,Common Shelduck,DIB-10K_2,119.Common Shelduck,2899
ruddy_shelduck,Ruddy Shelduck,DIB-10K_2,120.Ruddy Shelduck,3159
south_african_shelduck,South African Shelduck,DIB-10K_2,121.South African Shelduck,673
