Categorie;Ordre;Famille;Nom_EN;Nom_LT;Nom_FR;Url_EN;Url_FR;english_name_snake_case;bird_name;bird_name_raw;dataset_part;folder;nb_images
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Snow goose;Anser caerulescens;oie des neiges;https://en.wikipedia.org/wiki/Snow_goose;https://fr.wikipedia.org/wiki/Oie_des_neiges;snow_goose;snow_goose;Snow Goose;DIB-10K_1;83.Snow Goose;1908
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Greater white-fronted goose;Anser albifrons;oie rieuse;https://en.wikipedia.org/wiki/Greater_white-fronted_goose;https://fr.wikipedia.org/wiki/Oie_rieuse;greater_white_fronted_goose;greater_white_fronted_goose;Greater White-fronted Goose;DIB-10K_2;89.Greater White-fronted Goose;2613
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Lesser white-fronted goose;Anser erythropus;oie naine;https://en.wikipedia.org/wiki/Lesser_white-fronted_goose;https://fr.wikipedia.org/wiki/Oie_naine;lesser_white_fronted_goose;lesser_white_fronted_goose;Lesser White-fronted Goose;DIB-10K_2;90.Lesser White-fronted Goose;919
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Taiga bean-goose;Anser fabalis;oie des moissons;https://en.wikipedia.org/wiki/Taiga_bean-goose;https://fr.wikipedia.org/wiki/Oie_des_moissons;taiga_bean_goose;taiga_bean_goose;Taiga Bean Goose;DIB-10K_2;86.Taiga Bean Goose;1510
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Tundra bean-goose;Anser serrirostris;Oie de la toundra;https://en.wikipedia.org/wiki/Tundra_bean-goose;https://fr.wikipedia.org/wiki/Oie_de_la_tourdra;tundra_bean_goose;tundra_bean_goose;Tundra Bean Goose;DIB-10K_2;88.Tundra Bean Goose;808
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Pink-footed goose;Anser brachyrhynchus;oie à bec court;https://en.wikipedia.org/wiki/Pink-footed_goose;https://fr.wikipedia.org/wiki/Oie_%C3%A0_bec_court;pink_footed_goose;pink_footed_goose;Pink-footed Goose;DIB-10K_2;87.Pink-footed Goose;2283
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Barnacle goose;Branta leucopsis;bernache nonnette;https://en.wikipedia.org/wiki/Barnacle_goose;https://fr.wikipedia.org/wiki/Bernache_nonnette;barnacle_goose;barnacle_goose;Barnacle Goose;DIB-10K_1;78.Barnacle Goose;2572
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Canada goose;Branta canadensis;bernache du Canada;https://en.wikipedia.org/wiki/Canada_goose;https://fr.wikipedia.org/wiki/Bernache_du_Canada;canada_goose;canada_goose;Canada Goose;DIB-10K_1;77.Canada Goose;2904
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Red-breasted goose;Branta ruficollis;bernache à cou roux;https://en.wikipedia.org/wiki/Red-breasted_goose;https://fr.wikipedia.org/wiki/Bernache_%C3%A0_cou_roux;red_breasted_goose;red_breasted_goose;Red-breasted Goose;DIB-10K_1;75.Red-breasted Goose;1513
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Mute swan;Cygnus olor;cygne tuberculé;https://en.wikipedia.org/wiki/Mute_swan;https://fr.wikipedia.org/wiki/Cygne_tubercul%C3%A9;mute_swan;mute_swan;Mute Swan;DIB-10K_2;94.Mute Swan;2943
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Black swan;Cygnus atratus;Cygne noir;https://en.wikipedia.org/wiki/Black_swan;https://fr.wikipedia.org/wiki/Cygne_noir;black_swan;black_swan;Black Swan;DIB-10K_2;92.Black Swan;2924
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Tundra swan;Cygnus columbianus;cygne siffleur;https://en.wikipedia.org/wiki/Tundra_swan;https://fr.wikipedia.org/wiki/Cygne_siffleur;tundra_swan;tundra_swan;Tundra Swan;DIB-10K_2;96.Tundra Swan;2627
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Whooper swan;Cygnus cygnus;cygne chanteur;https://en.wikipedia.org/wiki/Whooper_swan;https://fr.wikipedia.org/wiki/Cygne_chanteur;whooper_swan;whooper_swan;Whooper Swan;DIB-10K_2;97.Whooper Swan;2636
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Egyptian goose;Alopochen aegyptiaca;ouette d'Egypte;https://en.wikipedia.org/wiki/Egyptian_goose;https://fr.wikipedia.org/wiki/Ouette_d%27%C3%A9gypte;egyptian_goose;egyptian_goose;Egyptian Goose;DIB-10K_2;109.Egyptian Goose;3467
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Ruddy shelduck;Tadorna ferruginea;tadorne casarca;https://en.wikipedia.org/wiki/Ruddy_shelduck;https://fr.wikipedia.org/wiki/Tadorne_casarca;ruddy_shelduck;ruddy_shelduck;Ruddy Shelduck;DIB-10K_2;120.Ruddy Shelduck;3159
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Common shelduck;Tadorna tadorna;tadorne de Belon;https://en.wikipedia.org/wiki/Common_shelduck;https://fr.wikipedia.org/wiki/Tadorne_de_Belon;common_shelduck;common_shelduck;Common Shelduck;DIB-10K_2;119.Common Shelduck;2899
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Baikal teal;Sibirionetta formosa;sarcelle élégante;https://en.wikipedia.org/wiki/Baikal_teal;https://fr.wikipedia.org/wiki/Sarcelle_%C3%A9l%C3%A9gante;baikal_teal;baikal_teal;Baikal Teal;DIB-10K_3;140.Baikal Teal;292
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Garganey;Spatula querquedula;sarcelle d'été;https://en.wikipedia.org/wiki/Garganey;https://fr.wikipedia.org/wiki/Sarcelle_d%27%C3%A9t%C3%A9;garganey;garganey;Garganey;DIB-10K_3;141.Garganey;1442
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Blue-winged teal;Spatula discors;sarcelle à ailes bleues;https://en.wikipedia.org/wiki/Blue-winged_teal;https://fr.wikipedia.org/wiki/Sarcelle_%C3%A0_ailes_bleues;blue_winged_teal;blue_winged_teal;Blue-winged Teal;DIB-10K_3;147.Blue-winged Teal;1339
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Northern shoveler;Spatula clypeata;canard souchet;https://en.wikipedia.org/wiki/Northern_shoveler;https://fr.wikipedia.org/wiki/Canard_souchet;northern_shoveler;northern_shoveler;Northern Shoveler;DIB-10K_3;150.Northern Shoveler;2675
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Gadwall;Mareca strepera;canard chipeau;https://en.wikipedia.org/wiki/Gadwall;https://fr.wikipedia.org/wiki/Canard_chipeau;gadwall;gadwall;Gadwall;DIB-10K_3;151.Gadwall;2785
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Eurasian wigeon;Mareca penelope;canard siffleur;https://en.wikipedia.org/wiki/Eurasian_wigeon;https://fr.wikipedia.org/wiki/Canard_siffleur;eurasian_wigeon;eurasian_wigeon;Eurasian Wigeon;DIB-10K_3;153.Eurasian Wigeon;1842
Ducks, geese, and waterfowl;Anseriformes;Anatidae;American wigeon;Mareca americana;canard d'Amérique;https://en.wikipedia.org/wiki/American_wigeon;https://fr.wikipedia.org/wiki/Canard_d%27Am%C3%A9rique;american_wigeon;american_wigeon;American Wigeon;DIB-10K_3;155.American Wigeon;1467
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Mallard;Anas platyrhynchos;canard colvert;https://en.wikipedia.org/wiki/Mallard;https://fr.wikipedia.org/wiki/Canard_colvert;mallard;mallard;Mallard;DIB-10K_3;166.Mallard;3038
Ducks, geese, and waterfowl;Anseriformes;Anatidae;American black duck;Anas rubripes;canard noir;https://en.wikipedia.org/wiki/American_black_duck;https://fr.wikipedia.org/wiki/Canard_noir;american_black_duck;american_black_duck;American Black Duck;DIB-10K_3;168.American Black Duck;2485
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Northern pintail;Anas acuta;canard pilet;https://en.wikipedia.org/wiki/Northern_pintail;https://fr.wikipedia.org/wiki/Canard_pilet;northern_pintail;northern_pintail;Northern Pintail;DIB-10K_3;175.Northern Pintail;2889
