Categorie;Ordre;Famille;Nom_EN;Nom_LT;Nom_FR;Url_EN;Url_FR
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Snow goose;Anser caerulescens;oie des neiges;https://en.wikipedia.org/wiki/Snow_goose;https://fr.wikipedia.org/wiki/Oie_des_neiges
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Graylag goose;Anser anser;oie cendrée;https://en.wikipedia.org/wiki/Graylag_goose;https://fr.wikipedia.org/wiki/Oie_cendr%C3%A9e
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Greater white-fronted goose;Anser albifrons;oie rieuse;https://en.wikipedia.org/wiki/Greater_white-fronted_goose;https://fr.wikipedia.org/wiki/Oie_rieuse
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Lesser white-fronted goose;Anser erythropus;oie naine;https://en.wikipedia.org/wiki/Lesser_white-fronted_goose;https://fr.wikipedia.org/wiki/Oie_naine
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Taiga bean-goose;Anser fabalis;oie des moissons;https://en.wikipedia.org/wiki/Taiga_bean-goose;https://fr.wikipedia.org/wiki/Oie_des_moissons
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Tundra bean-goose;Anser serrirostris;Oie de la toundra;https://en.wikipedia.org/wiki/Tundra_bean-goose;https://fr.wikipedia.org/wiki/Oie_de_la_tourdra
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Pink-footed goose;Anser brachyrhynchus;oie à bec court;https://en.wikipedia.org/wiki/Pink-footed_goose;https://fr.wikipedia.org/wiki/Oie_%C3%A0_bec_court
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Brant;Branta bernicla;bernache cravant;https://en.wikipedia.org/wiki/Brant_(goose);https://fr.wikipedia.org/wiki/Bernache_cravant
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Barnacle goose;Branta leucopsis;bernache nonnette;https://en.wikipedia.org/wiki/Barnacle_goose;https://fr.wikipedia.org/wiki/Bernache_nonnette
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Canada goose;Branta canadensis;bernache du Canada;https://en.wikipedia.org/wiki/Canada_goose;https://fr.wikipedia.org/wiki/Bernache_du_Canada
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Red-breasted goose;Branta ruficollis;bernache à cou roux;https://en.wikipedia.org/wiki/Red-breasted_goose;https://fr.wikipedia.org/wiki/Bernache_%C3%A0_cou_roux
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Mute swan;Cygnus olor;cygne tuberculé;https://en.wikipedia.org/wiki/Mute_swan;https://fr.wikipedia.org/wiki/Cygne_tubercul%C3%A9
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Black swan;Cygnus atratus;Cygne noir;https://en.wikipedia.org/wiki/Black_swan;https://fr.wikipedia.org/wiki/Cygne_noir
Ducks, geese, and waterfowl;Anseriformes;Anatidae;Tundra swan;Cygnus columbianus;cygne siffleur;https://en.wikipedia.org/wiki/Tundra_swan;https://fr.wikipedia.org/wiki/Cygne_siffleur
